mammal|哺乳动物,5
vaginal_penetration|阴道穿透,0
comic|漫画,7
friendship_is_magic|友谊是魔法,3
black_body|黑体,0
wolf|狼,5
size_difference|大小差异,0
big_penis|大阴茎,0
sitting|坐着,0
brown_fur|brown_fur,0
furniture|家具,0
outside|外部,0
spread_legs|spread_legs,0
oral|口服,0
long_hair|长发,0
ambiguous_gender|ambiguous_gender,0
plant|植物,0
male_penetrating_female|male_penetrating_female,0
huge_breasts|巨乳,0
shirt|衬衫,0
legwear|裤装,0
looking_back|回头看,0
eyewear|眼镜,0
big_butt|大屁股,0
markings|标记,0
muscular_male|肌肉男,0
sweat|流汗,0
multicolored_body|多色体,0
penile_penetration|penile_penetration,0
felis|猫,5
wide_hips|宽臀,0
lagomorph|兔形,5
grey_body|灰体,0
young|年轻的,0
5_fingers|5_fingers,0
domestic_cat|家猫,5
narrowed_eyes|狭窄的眼睛,0
black_nose|黑鼻子,0
paws|爪子,0
red_eyes|红眼睛,0
footwear|鞋类,0
reptile|爬虫,5
collar|衣领,0
male_penetrated|男性渗透,0
2021|2021,7
2020|2020,7
leporid|leporid,5
feathers|羽毛,0
on_back|背面,0
presenting|呈现,0
headgear|帽子,0
intersex|双性人,0
solo_focus|独奏焦点,0
black_fur|black_fur,0
rabbit|兔子,5
horse|马,5
belly|腹部,0
ear_piercing|穿耳洞,0
2019|2019,7
signature|签名,7
eyelashes|睫毛,0
fangs|獠牙,0
pawpads|爪垫,0
saliva|唾液,0
blonde_hair|金头发,0
anthro_on_anthro|anthro_on_anthro,0
brown_hair|棕色的头发,0
pantherine|豹猫,5
male_penetrating_male|male_penetrating_male,0
yellow_body|黄体,0
detailed_background|详细的背景,0
overweight|超重,0
black_hair|黑发,0
muscular_anthro|肌肉男,0
multicolored_fur|multicolored_fur,0
orgasm|高潮,0
jewelry|珠宝,0
knot|结,0
ejaculation|射精,0
abs|腹肌,0
glasses|眼镜,0
grey_fur|灰色毛皮,0
2018|2018,7
headwear|头饰,0
pussy_juice|pussy_juice,0
yellow_eyes|黄眼睛,0
vein|静脉,0
eyebrows|眉毛,0
hat|帽子,0
2017|2017,7
avian|禽类,5
half-closed_eyes|半闭眼,0
bed|床,0
not_furry|not_furry,0
handwear|手饰,0
gynomorph|雌雄同体,0
bovid|牛科动物,5
barefoot|赤脚,0
big_balls|大球,0
pecs|胸肌,0
gloves|手套,0
2022|2022,7
penis_in_pussy|penis_in_pussy,0
blue_fur|blue_fur,0
anthrofied|人选,0
orange_body|橙色身体,0
2016|2016,7
inside|里面,0
looking_pleasured|看着高兴,0
speech_bubble|会话框,0
animal_humanoid|animal_humanoid,5
masturbation|手淫,0
bound|边界,0
shaded|阴影,7
anthro_penetrated|anthro_penetrated,0
from_behind_position|from_behind_position,0
4_toes|4_toes,0
fellatio|口交,0
panties|内裤,0
cub|幼兽,0
feathered_wings|羽翼,0
widescreen|宽屏,7
blue_hair|蓝头发,0
precum|精液,0
cum_in_pussy|cum_in_pussy,0
white_hair|白色的头发,0
two_tone_body|two_tone_body,0
portrait|肖像,7
hyper|超,0
holding_object|持有对象,0
bottomless|无底洞,0
purple_eyes|紫眼,0
pants|裤子,0
pose|摆姿势,0
food|食物,0
non-mammal_breasts|非哺乳动物乳房,0
tan_body|tan_body,0
licking|舔,0
hybrid|杂交种,5
toe_claws|脚趾爪,0
disney|迪士尼,3
pony|小马,5
stripes|条纹,0
generation_1_pokemon|generation_1_pokemon,5
rodent|啮齿动物,5
bulge|凸,0
foreskin|包皮,0
sketch|草图,7
rear_view|后视图,0
countershading|反阴影,0
multicolored_hair|多色头发,0
3d_(artwork)|3d_（艺术品）,7
fan_character|粉丝角色,4
dominant|主导的,0
16:09|16:09,7
canine_penis|犬阴茎,0
equine_penis|马阴茎,0
animated|动画,7
yellow_fur|黄色毛皮,0
cum_in_ass|cum_in_ass,0
bdsm|性虐待,0
scales|秤,0
unicorn|独角兽,5
kneeling|跪着,0
sex_toy|性玩具,0
red_body|红体,0
purple_body|紫体,0
anthro_penetrating|anthro_penetrating,0
marine|海洋,5
huge_penis|巨大的阴茎,0
girly|少女的,0
orange_fur|橙色毛皮,0
red_hair|红发,0
slightly_chubby|小胖子,0
clitoris|阴蒂,0
raised_tail|凸起的尾巴,0
hooves|蹄子,0
cleavage|乳沟,0
accessory|配饰,0
topless|裸照,0
ursid|小熊座,5
tree|树,0
bird|鸟,5
fluffy|蓬松的,0
membrane_(anatomy)|膜_（解剖）,0
cutie_mark|可爱的标志,0
one_eye_closed|one_eye_closed,0
weapon|武器,0
submissive|顺从的,0
chest_tuft|胸簇,0
curvy_figure|曲线图,0
water|水,0
2015|2015,7
biceps|二头肌,0
green_body|绿体,0
looking_at_another|看着另一个,0
kemono|毛野,0
3_toes|3_脚趾,0
backsack|背囊,0
sky|天空,0
veiny_penis|静脉_阴茎,0
purple_hair|紫发,0
partially_clothed|部分穿着,0
swimwear|游泳衣,0
bondage|束缚,0
url|网址,7
all_fours|all_fours,0
short_hair|短发,0
overweight_male|超重_男性,0
cumshot|射液,0
3:04|3:04,7
two_tone_fur|two_tone_fur,0
thigh_highs|高抬腿,0
pink_hair|粉红色的头发,0
seductive|诱人的,0
mostly_nude|大多是裸体,0
pink_body|粉红色的身体,0
group_sex|group_sex,0
membranous_wings|membranous_wings,0
front_view|正视图,0
mammal_humanoid|哺乳动物类人动物,5
from_front_position|from_front_position,0
short_playtime|short_playtime,7
tan_fur|棕褐色毛皮,0
anthro_penetrating_anthro|anthro_penetrating_anthro,0
stockings|丝袜,0
sega|世嘉,3
presenting_hindquarters|presenting_hindquarters,0
humanoid_hands|humanoid_hands,0
faceless_character|不露面的角色,0
ring_piercing|ring_piercing,0
sonic_the_hedgehog_(series)|sonic_the_hedgehog_(系列),3
japanese_text|Japanese_text,7
tail_markings|tail_markings,0
pubes|阴毛,0
on_top|在上面,0
necklace|项链,0
makeup|化妆品,0
inner_ear_fluff|内耳绒毛,0
machine|机器,0
dripping|滴水,0
sharp_teeth|锋利的牙齿,0
tears|眼泪,0
digital_drawing_(artwork)|数字绘图_（艺术品）,7
generation_4_pokemon|generation_4_pokemon,5
larger_male|large_male,0
4_fingers|4_fingers,0
digitigrade|数位,0
caprine|山羊,5
female/female|女/女,0
smaller_male|较小的男性,0
2014|2014,7
4:03|4:03,7
shoes|鞋,0
drooling|流口水,0
faceless_male|无脸男,0
conditional_dnp|条件_dnp,1
voluptuous|妖娆,0
cum_in_mouth|cum_in_mouth,0
oral_penetration|oral_penetration,0
forced|被迫,0
brown_eyes|棕色的眼睛,0
beak|喙,0
shorts|短裤,0
overweight_anthro|超重_anthro,0
huge_butt|巨大的屁股,0
fluffy_tail|蓬松的尾巴,0
demon|恶魔,5
tiger|老虎,5
on_bottom|on_bottom,0
bestiality|兽交,0
cum_on_face|cum_on_face,0
border|边界,0
alpha_channel|alpha_channel,7
pegasus|飞马座,5
glowing|发光的,0
nipple_piercing|乳头穿孔,0
open_smile|open_smile,0
dildo|假阳具,0
human_on_anthro|human_on_anthro,0
big_belly|大肚子,0
earth_pony|earth_pony,5
female_focus|女性焦点,0
generation_3_pokemon|generation_3_pokemon,5
armor|盔甲,0
spots|斑点,0
bedroom_eyes|卧室_眼睛,0
trio|三重奏,0
mythology|神话,3
multicolored_tail|多色尾巴,0
sheath|鞘,0
pillow|枕头,0
grin|咧嘴笑,0
glistening|闪闪发光,0
two_tone_hair|two_tone_hair,0
hair_accessory|发饰,0
huge_balls|巨大的球,0
fish|鱼,5
bikini|比基尼,0
greyscale|灰度,7
grass|草,0
hand_on_butt|hand_on_butt,0
soles|鞋底,0
facial_hair|面部毛发,0
cervid|子宫颈,5
spikes|尖峰,0
hindpaw|后爪,0
alien|外星人,5
pokemorph|精灵变形,0
dress|裙子,0
pupils|学生们,0
black_and_white|黑与白,7
pink_nipples|pink_nipples,0
hyper_genitalia|超生殖器,0
pink_nose|粉红鼻子,0
cloud|云,0
2013|2013,7
arthropod|节肢动物,5
purple_fur|紫毛皮,0
skirt|短裙,0
hand_on_breast|hand_on_breast,0
murid|穆里德,5
submissive_male|顺从的_男性,0
tentacles|触手,0
generation_2_pokemon|generation_2_pokemon,5
murine|鼠,5
armwear|臂饰,0
mustelid|芥菜,5
grey_background|灰色背景,0
bovine|牛,5
on_bed|在床上,0
red_fur|red_fur,0
melee_weapon|近战武器,0
transformation|转型,0
traditional_media_(artwork)|传统媒体_（艺术品）,7
penile_masturbation|penile_masturbation,0
facial_tuft|面部簇绒,0
cum_on_penis|cum_on_penis,0
lion|狮子,5
happy|快乐的,0
censored|审查,7
facial_piercing|面部穿孔,0
robot|机器人,5
after_sex|after_sex,0
skimpy|吝啬,0
whiskers|晶须,0
internal|内部的,0
bent_over|弯腰,0
mature_female|成熟的_女性,0
ear_ring|耳环,0
pink_fur|pink_fur,0
dipstick_tail|量油尺尾,0
unknown_artist|未知艺术家,1
scar|瘢痕,0
disembodied_penis|disembodied_penis,0
kissing|接吻,0
zootopia|动物乌托邦,3
first_person_view|first_person_view,0
wet|弄湿,0
abdominal_bulge|腹胀,0
sound_effects|声音特效,0
looking_down|往下看,0
big_muscles|大肌肉,0
cheek_tuft|脸颊簇,0
undertale_(series)|传说之下_（系列）,3
bandai_namco|万代南梦宫,3
boots|靴子,0
body_hair|体毛,0
threesome|三人组,0
holidays|假期,0
ribbons|丝带,0
translucent|半透明,0
age_difference|年龄差,0
fully_clothed|穿上衣服,0
breast_play|乳房游戏,0
long_ears|长耳朵,0
erect_nipples|勃起的乳头,0
crossgender|跨性别,0
hyper_penis|hyper_penis,0
bra|胸罩,0
restraints|约束,0
beverage|饮料,0
generation_5_pokemon|generation_5_pokemon,5
digimon|数码宝贝,3
gesture|手势,0
full-length_portrait|全长肖像,7
lips|嘴唇,0
digimon_(species)|数码宝贝_（物种）,5
handjob|打手枪,0
generation_6_pokemon|generation_6_pokemon,5
humanoid_pointy_ears|humanoid_pointy_ears,0
small_breasts|小乳房,0
eeveelution|情绪化,5
plantigrade|跖行,0
seaside|海滨,0
male_on_bottom|male_on_bottom,0
socks|袜子,0
night|夜晚,0
vore|核心,0
larger_female|large_female,0
green_hair|green_hair,0
black_clothing|black_clothing,0
flaccid|松弛,0
tattoo|纹身,0
smaller_female|small_female,0
flower|花,0
beach|海滩,0
winged_unicorn|有翼的独角兽,5
mature_anthro|成熟的人类,0
webm|网站,7
black_eyes|黑眼睛,0
torn_clothing|撕裂的衣服,0
presenting_pussy|presenting_pussy,0
day|天,0
legendary_pokemon|传奇的口袋妖怪,5
doggystyle|狗的风格,0
penis_in_ass|penis_in_ass,0
glans|龟头,0
black_sclera|black_sclera,0
container|容器,0
black_penis|black_penis,0
ponytail|马尾辫,0
perineum|会阴,0
uniform|制服,0
side_view|侧面图,0
spitz|斯皮茨,5
4:05|4:05,7
<3_eyes|<3_eyes,0
athletic|竞技,0
pink_penis|pink_penis,0
on_front|on_front,0
lizard|蜥蜴,5
human_penetrating|human_penetrating,0
translated|翻译的,7
animal_crossing|保护动物,3
long_tail|长尾巴,0
raised_leg|抬腿,0
cum_while_penetrated|cum_while_penetrated,0
eyeshadow|眼影,0
chiropteran|翼翅目,5
low_res|低分辨率,7
5_toes|5_toes,0
white_clothing|white_clothing,0
tight_clothing|紧身衣,0
eye_contact|眼神接触,0
squish|压扁,0
shark|鲨鱼,5
bracelet|手镯,0
fire|火,0
high_heels|高跟鞋,0
nipple_outline|乳头轮廓,0
orange_eyes|橙眼,0
cum_drip|cum_drip,0
leash|皮带,0
watermark|水印,7
rape|强奸,0
2012|2012,7
undertale|传说之下,3
side_boob|side_boob,0
ass_up|屁股上,0
incest_(lore)|乱伦_（传说）,-1
pink_eyes|粉红色的眼睛,0
fingering|指法,0
human_on_feral|human_on_feral,0
wink|眨眼,0
angry|生气的,0
belt|腰带,0
freckles|雀斑,0
midriff|膈,0
embrace|拥抱,0
glowing_eyes|发光的眼睛,0
forest|森林,0
messy|凌乱,0
moobs|哞哞,0
source_filmmaker|source_filmmaker,3
breath|呼吸,0
gloves_(marking)|手套_（标记）,0
beard|胡须,0
hand_on_hip|hand_on_hip,0
bow_(feature)|弓_（特征）,0
overweight_female|超重_女性,0
female_on_top|female_on_top,0
flat_chested|平胸,0
feral_penetrating|野性穿透,0
dominant_male|占主导地位的男性,0
orange_hair|橙色头发,0
muscular_female|肌肉女,0
animal_pussy|动物猫,0
feral_on_feral|feral_on_feral,0
on_side|一边,0
eulipotyphlan|真紫菜素,5
lactating|哺乳期,0
quadruped|四足,0
neck_tuft|颈簇,0
nose_piercing|鼻子穿孔,0
cowgirl_position|女牛仔位置,0
humor|幽默,0
twilight_sparkle_(mlp)|暮光闪闪_（mlp）,4
hyper_breasts|超级乳房,0
gag|插科打诨,0
public|上市,0
tank_top|罐顶,0
goat|山羊,5
buckteeth|獠牙,0
big_dom_small_sub|big_dom_small_sub,0
snake|蛇,5
jacket|夹克,0
felid_humanoid|felid_humanoid,5
striped_body|条纹体,0
ranged_weapon|远程武器,0
legs_up|腿上,0
abstract_background|抽象背景,0
blood|血液,0
excessive_genital_fluids|过度生殖器液体,0
mouse|鼠,5
snout|鼻子,0
hedgehog|刺猬,5
head_markings|head_markings,0
marsupial|有袋动物,5
ahegao|啊高,0
2:03|2:03,7
procyonid|浣熊科,5
spotted_body|斑点体,0
humanoid_feet|humanoid_feet,0
leg_markings|leg_markings,0
motion_lines|运动线,0
pokephilia|pokephilia,0
scarf|围巾,0
antlers|鹿角,0
shadow|阴影,0
2d_animation|2d_animation,7
mane|鬃毛,0
lingerie|内衣,0
facial_markings|面部标记,0
yellow_sclera|黄色巩膜,0
inflation|通货膨胀,0
surprise|惊喜,0
intersex/female|双性人/女性,0
parent|父母,0
dessert|甜点,0
undressing|脱衣服,0
grey_hair|头发花白,0
hoodie|连帽衫,0
mask|面具,0
hyper_balls|超级球,0
shota|翔太,0
meme|模因,7
three-quarter_portrait|四分之三的肖像,7
presenting_anus|presenting_anus,0
nordic_sled_dog|nordic_sled_dog,5
multicolored_ears|多彩多姿的耳朵,0
judy_hopps|judy_hopps,4
rubber|橡胶,0
white_border|white_border,0
sciurid|鲫鱼,5
sibling|兄弟,0
hands-free|免提,0
raccoon|狸,5
star|星星,0
generation_7_pokemon|generation_7_pokemon,5
clenched_teeth|咬紧牙关,0
cattle|牛,5
no_sound|没有声音,7
transparent_background|透明背景,0
foot_fetish|恋足癖,0
hug|拥抱,0
monster|怪物,5
butt_grab|butt_grab,0
sofa|沙发,0
colored|有色,7
table|桌子,0
slit_pupils|狭缝瞳孔,0
chair|椅子,0
phone|电话,0
furgonomics|炉工学,0
nails|钉子,0
3d_animation|3d_动画,7
feline_humanoid|feline_humanoid,5
blue_skin|蓝皮,0
sword|剑,0
dinosaur|恐龙,5
hyaenid|鬣狗,5
blue_feathers|blue_feathers,0
female_on_human|female_on_human,0
breast_grab|抓胸,0
smaller_penetrated|较小的穿透,0
crossover|交叉,0
insect|昆虫,5
rope|绳索,0
crown|王冠,0
magic|魔法,0
exclamation_point|感叹号,0
open_clothing|open_clothing,0
embarrassed|尴尬的,0
romantic|浪漫的,0
profanity|亵渎,0
5:04|5:04,7
bow_ribbon|bow_ribbon,0
necktie|领带,0
mario_bros|马里欧兄弟,3
sweatdrop|汗珠,0
breast_squish|乳房挤压,0
vaginal_masturbation|阴道手淫,0
crying|哭,0
pinup|钉住,0
feral_penetrated|野性渗透,0
socks_(marking)|袜子_（标记）,0
western_dragon|西部龙,5
cute_fangs|可爱的獠牙,0
loli|萝莉,0
submissive_female|顺从的_女性,0
husky|沙哑,5
macro|宏,0
vehicle|车辆,0
were|是,5
disembodied_hand|无形的手,0
camel_toe|骆驼趾,0
low-angle_view|低角度视图,0
cat_humanoid|cat_humanoid,5
intersex/male|双性人/男性,0
armpit_hair|腋毛,0
thick_penis|粗阴茎,0
dominant_female|主导_女性,0
restrained|克制的,0
bite|咬,0
short_stack|短堆栈,0
leaking_cum|泄漏暨,0
pastoral_dog|田园狗,5
bedroom|卧室,0
cunnilingus|舔阴,0
gradient_background|渐变背景,0
excessive_cum|过度暨,0
lipstick|口红,0
fluttershy_(mlp)|fluttershy_(mlp),4
elbow_gloves|肘部手套,0
penis_lick|阴茎舔,0
crouching|蹲着,0
fruit|水果,0
herding_dog|herding_dog,5
light|光,0
spotted_fur|斑点毛皮,0
human_penetrated|人类穿透,0
moan|呻吟,0
intersex_penetrating|intersex_penetrating,0
featureless_crotch|featureless_crotch,0
window|窗户,0
alternate_species|替代物种,0
cum_on_self|cum_on_self,0
pink_tongue|粉红舌头,0
striped_fur|条纹毛皮,0
one_eye_obstructed|one_eye_obstructed,0
rainbow_dash_(mlp)|彩虹破折号_（mlp）,4
pregnant|孕,0
onomatopoeia|象声词,0
crossdressing|变装,0
blue_background|蓝色背景,0
ambiguous_penetration|ambiguous_penetration,0
looking_up|查找,0
blizzard_entertainment|暴雪娱乐,3
lifewonders|人生奇迹,3
finger_claws|指爪,0
sleeping|睡眠,0
multi_tail|多尾,0
blue_clothing|blue_clothing,0
slit|狭缝,0
double_penetration|双渗透,0
nick_wilde|尼克怀尔德,4
tapering_penis|变细_阴茎,0
scottgames|斯科特游戏,3
five_nights_at_freddy's|Five_nights_at_freddy's,3
gynomorph/female|雌性/雌性,0
clothing_lift|服装升降机,0
cartoon_network|卡通网络,3
dipstick_ears|量油尺_耳朵,0
green_fur|green_fur,0
male_on_anthro|male_on_anthro,0
tail_tuft|尾簇,0
female_on_feral|female_on_feral,0
black_nipples|black_nipples,0
translation_request|翻译请求,7
gun|枪,0
canid_humanoid|canid_humanoid,5
werecanid|狼人,5
partially_retracted_foreskin|部分缩回的包皮,0
obese|肥胖,0
head_tuft|头簇,0
star_fox|星狐,3
human_on_humanoid|human_on_humanoid,0
missionary_position|传教士职位,0
red_clothing|red_clothing,0
mythological_avian|神话鸟类,5
chain|链,0
lutrine|卢特林,5
moon|月亮,0
thong|丁字裤,0
hair_ribbon|头发丝带,0
floppy_ears|软盘耳,0
pattern_clothing|图案_服装,0
glistening_body|闪闪发光的身体,0
bone|骨,0
bell|钟,0
holding_weapon|持有武器,0
parent_and_child|父母和孩子,0
cum_on_breasts|cum_on_breasts,0
puffy_anus|puffy_anus,0
big_areola|大乳晕,0
loop|环形,7
canine_humanoid|canine_humanoid,5
elemental_creature|元素生物,5
3_fingers|3_fingers,0
musteline|曲线,5
fingerless_gloves|无指手套,0
cum_on_butt|cum_on_butt,0
book|书,0
sound|声音,7
fondling|抚摸,0
semi-anthro|半人类,0
short_tail|短尾巴,0
sex_toy_insertion|sex_toy_insertion,0
titfuck|山雀,0
bow_accessory|bow_accessory,0
cuff_(restraint)|袖口_（约束）,0
white_balls|白球,0
cum_inflation|cum_inflation,0
gynomorph_penetrating|gynomorph_penetrating,0
male/ambiguous|男性/模棱两可,0
2011|2011,7
bedding|寝具,0
anatomically_correct|解剖学上正确的,0
male_pov|男性视角,0
hair_over_eye|hair_over_eye,0
hands_behind_back|hand_behind_back,0
younger_male|年轻的男性,0
open_topwear|open_topwear,0
cum_on_body|cum_on_body,0
pink_areola|pink_areola,0
dark_body|暗体,0
spread_pussy|spread_pussy,0
question_mark|问号,0
goggles|风镜,0
warcraft|魔兽,3
sweater|毛衣,0
webcomic|网络漫画,0
big_ears|大耳朵,0
rarity_(mlp)|rarity_(mlp),4
black_border|black_border,0
christmas|圣诞节,3
gaping|张开,0
licking_lips|舔嘴唇,0
anthro_on_feral|anthro_on_feral,0
pinkie_pie_(mlp)|小指派_（mlp）,4
featureless_breasts|featureless_breasts,0
toony|香椿,0
choker|扼流圈,0
sunglasses|太阳镜,0
hair_bow|发夹,0
bottomwear_down|bottomwear_down,0
mephitid|蚜虫,5
smirk|傻笑,0
fin|鳍,0
half-erect|半直立,0
musclegut|肌肉肠,0
romantic_couple|浪漫情侣,0
close-up|特写,0
green_skin|绿皮,0
alcohol|酒精,0
hand_on_leg|hand_on_leg,0
non-mammal_nipples|非哺乳动物乳头,0
lucario|卢卡里奥,5
black_claws|黑爪,0
multi_genitalia|多生殖器,0
foot_focus|脚焦点,0
skunk|臭鼬,5
model_sheet|模型表,7
crocodilian|鳄鱼,5
human_penetrating_anthro|human_penetrating_anthro,0
saliva_string|唾液字符串,0
pink_pawpads|pink_pawpads,0
long_tongue|长舌头,0
bouncing_breasts|弹跳乳房,0
white_skin|白皮肤,0
blue_penis|blue_penis,0
renamon|重生,5
patreon|patreon,3
costume|戏服,0
hand_on_head|hand_on_head,0
pivoted_ears|旋转的耳朵,0
white_tail|白尾,0
bow_tie|领结,0
male_on_human|male_on_human,0
cup|杯子,0
cum_string|cum_string,0
duo_focus|双焦点,0
nose_ring|鼻环,0
helmet|头盔,0
bouncing_balls|弹跳球,0
amber_eyes|amber_eyes,0
webcomic_character|网络漫画人物,4
countershade_torso|countershade_torso,0
medial_ring|内侧环,0
edit|编辑,7
male_on_feral|male_on_feral,0
big_nipples|大乳头,0
tokyo_afterschool_summoners|tokyo_afterschool_summoners,3
orgasm_face|orgasm_face,0
foot_play|foot_play,0
milk|牛奶,0
genital_piercing|生殖器穿孔,0
3:02|3:02,7
gagged|堵嘴,0
two_tone_tail|two_tone_tail,0
riot_games|riot_games,3
league_of_legends|英雄联盟,3
white_feathers|white_feathers,0
hands_behind_head|hand_behind_head,0
sheep|羊,5
herm|赫姆,0
against_surface|反对表面,0
asian_mythology|亚洲神话,3
rat|鼠,5
capcom|卡普空,3
towel|毛巾,0
sister|姐姐,0
child|孩子,0
colored_nails|有色指甲,0
suina|苏娜,5
heterochromia|异色症,0
multi_penis|多阴茎,0
furred_dragon|furred_dragon,5
rimming|沸腾,0
raised_arm|凸起的手臂,0
east_asian_mythology|东亚神话,3
sand|沙,0
denim|牛仔布,0
ailurid|发霉的,5
ring|戒指,0
werecanine|人参碱,5
brother|兄弟,0
applejack_(mlp)|苹果杰克_（mlp）,4
denim_clothing|牛仔服装,0
animatronic|电子动画,5
frown|皱眉,0
asian_clothing|亚洲服装,0
princess_celestia_(mlp)|Princess_celestia_(mlp),4
red_panda|红熊猫,5
cum_on_ground|cum_on_ground,0
mother|母亲,0
pants_down|pants_down,0
fennec|耳廓,5
east_asian_clothing|东方服装,0
rainbow_hair|彩虹头发,0
looking_away|看远,0
urine|尿,0
green_scales|green_scales,0
imminent_sex|迫在眉睫的性,0
gryphon|狮鹫,5
werewolf|狼人,5
ineffective_censorship|无效审查,0
dark_skin|暗黑皮肤,0
mind_control|精神控制,0
the_legend_of_zelda|塞尔达传说,3
princess_luna_(mlp)|Princess_luna_(mlp),4
antennae_(anatomy)|天线_（解剖）,0
ursine|熊素,5
brown_nose|棕色的鼻子,0
thick_tail|厚尾,0
flora_fauna|植物群系,5
leaning|倾斜,0
ball_gag|球堵嘴,0
suid|自杀,5
braided_hair|辫发,0
primate|灵长类动物,5
cum_on_balls|cum_on_balls,0
multi_limb|多肢,0
leg_grab|leg_grab,0
frame_by_frame|一帧一帧,7
looking_at_partner|寻找合作伙伴,0
genital_slit|生殖缝,0
translucent_hair|半透明头发,0
sea|海,0
anatomically_correct_genitalia|anatomically_correct_genitalia,0
nipple_fetish|乳头恋物癖,0
generation_8_pokemon|generation_8_pokemon,5
sexual_barrier_device|性障碍设备,0
sus_(pig)|sus_(猪),5
genital_outline|生殖器轮廓,0
condom|避孕套,0
looking_back_at_viewer|看着_back_at_viewer,0
nipple_play|nipple_play,0
boss_monster|boss_monster,5
raccoon_dog|貉,5
snow|雪,0
equine_pussy|equine_pussy,0
sucking|吸吮,0
spotted_hyena|斑鬣狗,5
looking_aside|旁观,0
knotting|打结,0
4k|4k,7
spread_butt|spread_butt,0
loincloth|缠腰布,0
story|故事,7
micro|微,0
butt_focus|屁股焦点,0
tanuki|狸猫,5
censor_bar|censor_bar,0
toying_self|玩弄自己,0
sex_toy_in_ass|sex_toy_in_ass,0
hand_behind_head|hand_behind_head,0
self_lick|自舔,0
anal_masturbation|anal_masturbation,0
5:06|5:06,7
expansion|扩张,0
tree_squirrel|树松鼠,5
unknown_species|未知物种,5
panting|气喘吁吁,0
retracted_foreskin|缩回包皮,0
teats|乳头,0
kerchief|头巾,0
9:16|9:16,7
male_on_top|male_on_top,0
bandage|绷带,0
striped_clothing|条纹服装,0
square_enix|Square Enix公司,3
light_body|光体,0
harness|马具,0
slim|瘦,0
line_art|线条艺术,7
translucent_clothing|translucent_clothing,0
not_furry_focus|not_furry_focus,0
shaking|摇晃,0
medium_breasts|medium_breasts,0
cellphone|手机,0
giant_panda|大熊猫,5
red_fox|红狐,5
fishnet|鱼网,0
elf|精灵,5
japanese_clothing|日本服装,0
standing_sex|常设性,0
pseudo_hair|伪头发,0
under_boob|under_boob,0
huge_thighs|大长腿,0
tail_motion|tail_motion,0
jackal|豺狼,5
blue_nipples|blue_nipples,0
striped_markings|条纹标记,0
older_male|old_male,0
son|儿子,0
rock|岩石,0
chest_hair|胸毛,0
2010|2010,7
cutaway|剖面图,0
anal_orgasm|anal_orgasm,0
spiked_collar|尖刺领,0
diaper|尿布,0
eye_patch|眼罩,0
small_waist|小腰围,0
human_focus|人类焦点,0
cum_on_chest|cum_on_chest,0
deep_throat|深喉咙,0
vibrator|振动器,0
shackles|镣铐,0
open_shirt|开衫,0
pink_clothing|pink_clothing,0
amphibian|两栖动物,5
cheetah|猎豹,5
partially_submerged|部分淹没,0
lynx|猞猁,5
rouge_the_bat|rouge_the_bat,4
cape|岬,0
